Indicator,Description
Rand per US Dollar,Weighted average of the banks' daily rates at approximately 10:30 am. Weights are based on the banks' foreign exchange transactions.

Date,Value
 2025-09-29,17.2734
 2025-09-26,17.4483
 2025-09-25,17.3153
 2025-09-23,17.3206
 2025-09-22,17.3245
 2025-09-19,17.3280
 2025-09-18,17.3781
 2025-09-17,17.3960
 2025-09-16,17.3587
 2025-09-15,17.3472
 2025-09-12,17.4027
 2025-09-11,17.5343
 2025-09-10,17.5582
 2025-09-09,17.4999
 2025-09-08,17.5336
 2025-09-05,17.6962
 2025-09-04,17.7572
 2025-09-03,17.6673
 2025-09-02,17.7166
 2025-09-01,17.5936
 2025-08-29,17.7493
 2025-08-28,17.6879
 2025-08-27,17.7313
 2025-08-26,17.6472
 2025-08-25,17.5312
 2025-08-22,17.6679
 2025-08-21,17.7345
 2025-08-20,17.7117
 2025-08-19,17.6470
 2025-08-18,17.6215
 2025-08-15,17.5420
 2025-08-14,17.5580
 2025-08-13,17.5316
 2025-08-12,17.7031
 2025-08-11,17.7133
 2025-08-08,17.7139
 2025-08-07,17.7214
 2025-08-06,17.8696
 2025-08-05,17.9906
 2025-08-04,17.9911
 2025-08-01,18.2913
 2025-07-31,18.0415
 2025-07-30,17.8599
 2025-07-29,17.9428
 2025-07-28,17.8465
 2025-07-25,17.7393
 2025-07-24,17.5987
 2025-07-23,17.5484
 2025-07-22,17.6753
 2025-07-21,17.7144
 2025-07-18,17.6783
 2025-07-17,17.8866
 2025-07-16,17.9197
 2025-07-15,17.8003
 2025-07-14,17.8779
 2025-07-11,17.8262
 2025-07-10,17.7547
 2025-07-09,17.8278
 2025-07-08,17.7833
 2025-07-07,17.7975
 2025-07-04,17.5669
 2025-07-03,17.5013
 2025-07-02,17.6778
 2025-07-01,17.5977
 2025-06-30,17.7758
 2025-06-27,17.8626
 2025-06-26,17.5933
 2025-06-25,17.7325
 2025-06-24,17.7334
 2025-06-23,18.0514
 2025-06-20,18.0280
 2025-06-19,18.0393
 2025-06-18,18.0225
 2025-06-17,17.8262
 2025-06-13,17.9451
 2025-06-12,17.8574
 2025-06-11,17.7140
 2025-06-10,17.7421
 2025-06-09,17.7050
 2025-06-06,17.7727
 2025-06-05,17.7783
 2025-06-04,17.7988
 2025-06-03,17.8630
 2025-06-02,17.8890
 2025-05-30,17.8463
 2025-05-29,17.9630
 2025-05-28,17.9276
 2025-05-27,17.9228
 2025-05-26,17.8790
 2025-05-23,17.9148
 2025-05-22,17.9566
 2025-05-21,17.8870
 2025-05-20,18.0581
 2025-05-19,17.9964
 2025-05-16,18.0516
 2025-05-15,18.2293
 2025-05-14,18.2164
 2025-05-13,18.3036
 2025-05-12,18.2452
 2025-05-09,18.1779
 2025-05-08,18.2649
 2025-05-07,18.2817
 2025-05-06,18.2265
 2025-05-05,18.3441
 2025-05-02,18.4730
 2025-04-30,18.6325
 2025-04-29,18.5434